ASOCIACIÓN ALFA (ALMANJÁYAR EN FAMILIA)	Dedicada a personas de distintas edades en situación de vulnerabilidad y especialmente en la capacitación socioeducativa de niños, jóvenes y personas adultas, para fomentar una mejora en su situación social, familiar, educativa o laboral. Para el desarrollo de los programas socioeducativos se cuenta con equipos multidisciplinares formados por profesionales de psicología, trabajo social, educación social y educación entre otros.	Cualquiera	Adultos (30-64 años), Adolescentes (12-17 años), Infancia: 0-5 años, Infancia: 6-11 años, Jóvenes (18-29 años), Mayores de 64 años	Participación y acción comunitaria, Cultura y ocio, Bienestar emocional, Personas en riesgo de exclusión, Escuela de salud/formación	Granada	Granada	+ info
Asociación Baila Swing Fin de Granada	La Asociación Baila Swing Fin de Granada, un grupo humano sin ánimo de lucro que nació en septiembre de 2013 y al que nos une nuestro amor por la música, la cultura y el baile swing. Desde su creación han pasado ya cientos de personas por nuestra ciudad deseosas de descubrir esta cultura, estos bailes y cómo no, ¡de conocer gente nueva! Nuestra misión ha sido en estos años principalmente la de dar salida a esta creciente demanda, posibilitando que el swing forme parte de nuestro día a día en Granada. Desde nuestros inicios hemos organizado fiestas, conciertos, clases regulares, clases intensivas con profesores invitados, clandestinos por la ciudad y otras actividades para nuestr@s soci@s y para la ciudadanía granadina en general. Nuestro principal objetivo es promover la formación y difusión de la cultura Swing dentro de la provincia de Granada, dando cabida a cualquier persona interesada por este tipo de música y los bailes asociados a ella.	Cualquiera	Población general	Cultura y ocio, Bienestar emocional, Actividad física	Granada	Granada	+ info
Asociación de vecinos Barrio Cerrillo de Maracena (Granada)	La Asociación de vecinos Barrio Cerrillo de Maracena está vinculada a proyectos de salud y a mejorar la calidad de vida de los vecinos, por ejemplo, se ha creado una pista deportiva a demanda de la asociación, contribuye en la realización de talleres, difunde información a los vecinos, y es un espacio también utilizado para dar charlas, por ejemplo yo como enfermera especialista del centro de salud Albayda, impartí una charla de hábitos saludables: alimentación y actividad física a los vecinos mayores de 65 años	Cualquiera	Población general	Participación y acción comunitaria, Cultura y ocio, Alimentación saludable, Actividad física	Granada	Granada	+ info
Asociación de vecinos de La Chana	Se trata de una asociación de vecinos del barrio, organizada y coordinada por los mismos. Ofrece actividades diarias para ejercitar cuerpo y mente así como actividades colaborativas con otras entidades.	Cualquiera	Adultos (30-64 años), Adolescentes (12-17 años), Mayores de 64 años	Participación y acción comunitaria, Envejecimiento activo, Cultura y ocio, Bienestar emocional, Personas en riesgo de exclusión, Actividad física	Granada	Granada	+ info
ASOCIACIÓN GRANADINA DE DIABETES (AGRADI).	Punto de encuentro de personas con diabetes y/o familiares. Se comparten experiencias, actividades formativas y eventos. Dirigido: desde niños a adultos. Hacen actividades como: talleres formativos; quedadas culturales; convivencias; campamentos de verano para niños.	Cualquiera	Población general	Bienestar emocional, Escuela de salud/formación, Enfermedades crónicas	Granada	Granada	+ info
BEBECUENTOS (Hospital Universitario Clínico San Cecilio-Granada)	“Bebecuentos” es un recurso para estimular el desarrollo de bebes y niños realizado por la Unidad Funcional de Rehabilitación Infantil del Servicio de Medicina Física y Rehabilitación del Hospital Universitario Clínico San Cecilio que complementa la atención integral que prestan a los niños en esta Unidad con talleres formativos educacionales a los progenitores y cuidadores. En ellos, a través de la narración de un cuento, los niños aprenden de forma amena y divertida sobre el funcionamiento de su cuerpo, mientras que sus cuidadores reciben recomendaciones sobre la salud, el desarrollo y el cuidado de los más pequeños.	Cualquiera	Otros, Infancia: 0-5 años	Personas cuidadoras, Bienestar emocional, Escuela de salud/formación	Granada	Granada	+ info
Caminatas saludables CS.Almanjáyar y CS.Cartuja	Caminata saludable con punto de partida desde el CS. Almanjáyar dirigido por enfermeras familiares y comunitarias todos los Martes de Mayo, Junio, Septiembre y Octubre de 9:30 a 10:30h y de Noviembre a Abril de 10:00 a 11:00h. Fin de la actividad con ejercicios de movilidad y fuerza con gomas pautadas por fisioterapeutas del centro. Ruta circular por el Parque ubicado entre las calles Casería del Cerro y Casería de Aguirre. Recorrido con bancos y sombras donde cada participante lleva su propio ritmo con vigilancia de los que dirigen la actividad.	Cualquiera	Población general	Envejecimiento activo, Bienestar emocional, Enfermedades crónicas, Actividad física	Granada	Granada	+ info
CASA GRANADA APOYO POSITIVO	En Apoyo Positivo hemos desarrollado en estos más de 30 años, un modelo especializado de atención a la salud sexual, tanto física como psicológica, a través de unos Centros Comunitarios Ya Estás en CASA, unos lugares seguros para la comunidad diversa, donde implementamos un modelo de checkpoint de infecciones de transmisión genital y otros servicios alrededor de la salud sexual integral. Somos un servicio abierto a cualquier persona, con atención especializada en personas con VIH, personas con alguna situación de salud sexual, personas LGTBIQA, jóvenes, migrantes y mujeres, así como en el uso sexualizado de drogas (chemsex) y otras variables comunitarias relacionadas con la diversidad.	Cualquiera	Adultos (30-64 años), Población general, Jóvenes (18-29 años)	Salud sexual y reproductiva, Género/identidad, Bienestar emocional	Granada	Granada	+ info
Centro de Participación Activa Buenos Aires	Es un espacio público destinado a las personas mayores donde se promueve el envejecimiento activo, la convivencia y la participación en actividades sociales, culturales, educativas y saludables. Además son lugares de encuentro donde las personas mayores pueden relacionarse, participar en la vida social y sentirse útiles y activas dentro de la comunidad	Cualquiera	Otros, Mayores de 64 años	Participación y acción comunitaria, Envejecimiento activo, Otros, Cultura y ocio, Bienestar emocional, Alimentación saludable, Actividad física	Granada	Granada	+ info
Centro de Participación Activa Plaza de los Campos	Los Centros de Participación Activa son recursos destinados a mejorar la calidad de vida de las personas mayores, favoreciendo su bienestar, la convivencia, la integración social y su participación en la comunidad. Además sirven de apoyo para la prestación de Servicios Sociales y Asistenciales a otros sectores de la población. Destacan sus talleres de envejecimiento activo, orientados a mantener la autonomía, prevenir la dependencia y el aislamiento, y promover hábitos saludables. Algunos de sus talleres son: Yoga, Taichi ChiKung, Talleres de memoria, Informática, Móviles, Coro, Guitarra, Inglés, Manualidades con materiales reciclados, Música y Movimiento, Gimnasia Cognitiva, memoria y TICs, Bailes, Autostima y Bienestar.	Cualquiera	Otros, Mayores de 64 años	Participación y acción comunitaria, Envejecimiento activo, Cultura y ocio, Bienestar emocional, Actividad física	Granada	Granada	+ info
